;;;;;;;;;;;;;;;;;
classificação;código;ORÇADO;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;Fórmula;Despesa
3.2.1.01;103;Receita Bruta;593650;643002;733964;746122;803669;828975;886467;947359;1084156;1119268;1215214;1230546;10832393;SUM;N
3.2.1.01.001;104;Receita de Produtos;184300;204300;206100;231560;217500;223800;234900;234900;284600;253500;288200;262100;2825760;;N
3.2.1.01.002;119;Receita de Servicos;409350;438702;527864;514562;586169;605175;651567;712459;799556;865768;927014;968446;8006633;;N
3.2.1.02;2396;( - ) Deduções;39851;42747;48580;50297;53784;55817;59573;64193;73468;76211;83208;84734;732465;SUM;S
3.2.1.02.001;105;Devoluções;9375;9883;10612;12074;12105;12835;13565;14744;17174;17421;19582;19829;169199;;S
3.2.1.02.002;106;ICMS;621;621;621;698;621;621;621;621;731;621;731;621;7751;;S
3.2.1.02.003;107;ISSQN s/ Servicos;8187;8774;10557;10291;11723;12104;13031;14249;15991;17315;18540;19369;160133;;S
3.2.1.02.004;108;Pis s/ Faturamento;3859;4180;4771;4850;5224;5388;5762;6158;7047;7275;7899;7999;70411;;S
3.2.1.02.005;109;Cofins;17810;19290;22019;22384;24110;24869;26594;28421;32525;33578;36456;36916;324972;;S
3.2.1.02.006;936;Remessa de Mercadoria;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;1050;Receita Líquida de Vendas;553799;600255;685384;695825;749885;773158;826894;883166;1010688;1043057;1132006;1145813;10099929;F: 103 - 2396;N
;110;( - ) Custo dos produtos/serviços vendidos;625001;155907;171190;174833;196408;195001;197294;200543;194723;193542;197272;202337;2230337;F: 1405 + 120;S
3.2.1.03;1405;Custos operacionais;119935;119909;131987;130672;140661;139248;139104;139944;135626;134527;135774;140846;1608231;SUM;S
3.2.1.03.001;111;Compra de Embalagens;0;0;2000;0;0;2000;0;0;2000;0;0;2000;8000;;S
3.2.1.03.002;112;Compra de CD's;500;0;0;500;0;0;500;0;0;500;0;0;2000;;S
3.2.1.03.003;113;Compra de Etiquetas;0;100;100;0;100;100;0;100;100;0;100;100;800;;S
3.2.1.03.004;114;Impressos;800;800;800;800;800;800;800;800;800;800;800;800;9600;;S
;;(-) Cred Pis-Cofins - Insumos;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.03.006;116;Serviços de Terceiros PJ;106040;106114;111774;115651;121204;121154;121424;121628;119554;119707;119932;123262;1407442;;S
3.2.1.03.007;117;Serviços de Terceiros PF;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;;(-) Cred Pis-Cofins - PJ custo;11666;11966;14584;10992;15828;12465;13651;14687;10443;10791;12213;11955;151241;;S
3.2.1.03.008;2697;Custos de Viagens;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.03.009;2698;Custos em Implementacao;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.03.998;211;Outros Custos;929;929;2729;2729;2729;2729;2729;2729;2729;2729;2729;2729;29148;;S
3.2.1.04;120;Custos com Pessoal;31351;35998;39203;44162;55747;55753;58190;60599;59098;59016;61498;61491;622106;SUM;S
3.2.1.04.001;121;Salários;7249;8260;10229;13275;14249;14252;15749;17229;20299;20249;21774;21769;184583;;S
3.2.1.04.002;122;Comissões;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.04.003;123;Férias;805;918;1137;1475;1583;1584;1750;1914;2255;2250;2419;2419;20509;;S
3.2.1.04.004;124;13o Salário;604;688;852;1106;1187;1188;1312;1436;1692;1687;1814;1814;15382;;S
3.2.1.04.005;125;INSS;2407;2743;3397;4408;4731;4733;5229;5721;6740;6724;7230;7229;61292;;S
3.2.1.04.006;126;FGTS;736;839;1039;1348;1447;1447;1599;1749;2061;2056;2211;2210;18740;;S
3.2.1.04.007;127;Vale Transporte;2600;2600;2600;2600;2600;2600;2600;2600;2600;2600;2600;2600;31200;;S
3.2.1.04.008;128;Vale Refeição;2950;2950;2950;2950;2950;2950;2950;2950;2950;2950;2950;2950;35400;;S
3.2.1.04.009;129;Treinamento;0;0;0;0;10000;10000;10000;10000;6500;6500;6500;6500;66000;;S
3.2.1.04.010;130;Estagiários;12300;15300;15300;15300;15300;15300;15300;15300;12300;12300;12300;12300;168600;;S
3.2.1.04.011;131;Assistência Médica;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;20400;;S
3.2.1.04.012;132;Benefícios;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;551;Indenizações Trabalhistas;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.04.013;209;Pro-Labore;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;9996;Resultado Bruto;402513;444348;514193;520992;553477;578156;629600;682623;815964;849515;934734;943476;7869591;F: 1050 - 110;N
3.2.2;2398;( - ) Despesas Operacionais;253239;240750;282269;313647;288222;314681;325631;340992;329898;359553;371661;334507;3755049;F: 133 + 156 + 312;S
;133;Despesas Comerciais;168184;155694;188462;220439;196283;222741;233640;255000;243635;273289;285134;248629;2691129;F: 9999 + 142;S
3.2.2.01;9999;Despesas Gerais;147371;134757;167860;199338;175462;201881;212815;234391;222263;252076;263450;226998;2438663;SUM;S
3.2.2.01.001;134;Comissões Revenda;37816;18411;19694;19025;23448;23055;25213;26843;8820;8820;8820;8820;228785;;S
3.2.2.01.002;135;Eventos e Convencoes;0;500;500;31500;500;15500;15500;30500;20500;40500;46500;10500;212500;;S
3.2.2.01.003;136;Viagens e Estadias;32340;34706;39069;39671;43643;44751;48103;51543;63490;65757;71463;71940;606473;;S
3.2.2.01.004;137;Correios;9590;9590;9590;10730;9590;9590;9590;9590;11210;9590;11210;9590;119460;;S
3.2.2.01.005;138;Publicidade;3815;4855;22935;25935;22935;31935;33935;31935;28935;36935;28935;28935;302020;;S
3.2.2.01.006;139;Servicos de Apoio;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.01.007;140;Locacao de Equipamentos;400;400;400;400;400;400;400;400;400;400;400;400;4800;;S
3.2.2.01.008;1125;Prestação de Serviço Partner;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;355;Serv Terceiros PJ;41622;43178;50390;44604;46298;46703;48189;49113;49501;49793;51415;51626;572433;;S
3.2.2.01.009;162;Telefones - Celulares;8551;9088;9988;10718;11298;11765;12552;13548;15410;15785;17458;17637;153796;;S
;161;Telefones - Fixos;13238;14030;15294;16755;17351;18182;19334;20920;23997;24496;27249;27551;238396;;S
3.2.2.01.010;356;Serv Terceiros PF;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.01.011;2555;Alugueis;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.01.012;2718;Brindes;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.01.013;3764;Despesas com Veículos e Combustíveis;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.01.014;3771;Transportes e Condução;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.01.999;213;Prov Credito Liquid Duvidosa;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.02;142;Despesas com Pessoal;20813;20937;20602;21100;20821;20860;20825;20609;21372;21213;21683;21631;252467;SUM;S
3.2.2.02.001;143;Salários;7532;7609;7403;7709;7537;7561;7540;7407;7876;7778;8067;8035;92054;;S
3.2.2.02.002;144;Comissões;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.02.003;145;Ferias;837;845;823;857;837;840;838;823;875;864;896;893;10228;;S
3.2.2.02.004;146;13o Salario;628;634;617;642;628;630;628;617;656;648;672;670;7671;;S
3.2.2.02.005;147;INSS;2501;2527;2458;2560;2503;2511;2504;2460;2615;2583;2679;2668;30567;;S
3.2.2.02.006;148;FGTS;765;773;752;783;765;768;765;752;800;790;819;816;9346;;S
3.2.2.02.007;149;Vale Transporte;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;33600;;S
3.2.2.02.008;150;Vale Refeição;2850;2850;2850;2850;2850;2850;2850;2850;2850;2850;2850;2850;34200;;S
3.2.2.02.009;151;Treinamento;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.02.010;152;Estagiários;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;14400;;S
3.2.2.02.011;153;Assistência Médica;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;20400;;S
3.2.2.02.012;154;Benefícios;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.02.013;2966;Bonificação;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;156;Despesas Administrativas;85055;85056;93807;93208;91939;91940;91991;85992;86263;86264;86527;85878;1063919;F: 9998 + 2401;S
3.2.2.03;9998;Despesas Gerais;72145;72146;80197;79598;78329;78330;78381;72382;72653;72654;72655;72006;901479;SUM;S
3.2.2.03.001;157;Prestação Serviço P Física;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.002;158;Prestação Serviço P Jurídica;40840;40840;43840;43840;42290;42290;42290;37290;37290;37290;37290;36040;481428;;S
3.2.2.03.021;159;Seguros;92;92;92;92;92;92;92;92;92;92;92;92;1100;;S
3.2.2.03.038;160;Viagens e Estadias;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.039;164;Contribuicoes e Doacoes;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.040;165;Impostos, Taxas e Contribuicoes;200;200;200;200;200;200;200;200;200;200;200;200;2400;;S
3.2.2.03.041;166;Multas;500;500;500;500;500;500;500;500;500;500;500;500;6000;;S
3.2.2.03.042;167;Despesas Legais e Judiciais;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.051;168;Alugueis;6200;6200;6200;6200;6200;6200;6200;6200;6200;6200;6200;6200;74400;;S
3.2.2.03.063;115;Arrendamento Mercantil;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;17071;;S
3.2.2.03.052;169;Desp c/ Veiculos e Combustiveis;100;100;5100;5100;5100;5100;5100;4100;4100;4100;4100;4100;46200;;S
3.2.2.03.053;170;Transportes e Conducao;650;650;650;650;650;650;650;650;650;650;650;650;7800;;S
3.2.2.03.060;171;Bens de Natureza Permanente;300;300;300;300;300;300;300;300;300;300;300;300;3600;;S
3.2.2.03.061;172;Encargos de Depreciação;1339;1339;1339;1339;1339;1339;1339;1339;1339;1339;1339;1339;16068;;S
3.2.2.03.062;184;Encargos de Amortização;13312;13312;13312;13312;13312;13312;13312;13312;13312;13312;13312;13312;159746;;S
3.2.2.03.070;219;Telefones Celulares;300;300;300;300;300;300;300;300;300;300;300;300;3600;;S
3.2.2.03.073;218;Telefones Fixos;100;100;100;100;100;100;100;100;100;100;100;100;1200;;S
3.2.2.03.071;2987;Crachas;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.074;173;Energia Eletrica;2800;2800;2800;2200;2200;2200;2200;2200;2200;2200;2200;2800;28800;;S
3.2.2.03.075;118;Internet;640;640;640;640;640;640;640;640;640;640;640;640;7680;;S
3.2.2.03.072;174;Despesas com Correios e Malotes;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.081;175;Conservacao e Manutencao;950;950;950;950;950;950;950;950;950;950;950;950;11400;;S
3.2.2.03.082;176;Material de Limpeza;250;250;250;250;250;250;250;250;250;250;250;250;3000;;S
3.2.2.03.091;177;Copa e Cozinha;500;500;500;500;500;500;500;500;500;500;500;500;6000;;S
3.2.2.03.092;178;Lanches e Refeicoes;200;200;250;250;300;300;350;350;400;400;400;400;3800;;S
3.2.2.03.100;179;Material de Escritorio;800;800;800;800;1000;1000;1000;1000;1200;1200;1200;1200;12000;;S
3.2.2.03.101;180;Fotocopias e Autenticacoes;150;150;150;150;180;180;180;180;200;200;200;200;2120;;S
3.2.2.03.102;181;Material de Proc Dados;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.103;182;Impressos;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.104;183;Despesas com Eventos;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.105;2699;Perdas/Roubos;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.03.998;214;Outras Despesas Administrativas;500;501;502;503;504;505;506;507;508;509;510;511;6066;;S
3.2.2.04;2401;Despesas com Pessoal;12910;12910;13610;13610;13610;13610;13610;13610;13610;13610;13872;13872;162441;SUM;S
3.2.2.04.001;300;Salários;2054;2054;2054;2054;2054;2054;2054;2054;2054;2054;2123;2123;24788;;S
3.2.2.04.002;301;Comissões;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.04.003;302;Ferias;533;533;533;533;533;533;533;533;533;533;551;551;6432;;S
3.2.2.04.004;303;13o Salario;400;400;400;400;400;400;400;400;400;400;413;413;4824;;S
3.2.2.04.005;304;INSS;1593;1593;1593;1593;1593;1593;1593;1593;1593;1593;1646;1646;19222;;S
3.2.2.04.006;305;FGTS;487;487;487;487;487;487;487;487;487;487;503;503;5877;;S
3.2.2.04.007;306;Vale Transporte;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;13200;;S
3.2.2.04.008;307;Vale Refeição;900;900;900;900;900;900;900;900;900;900;900;900;10800;;S
3.2.2.04.009;308;Treinamento;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.04.010;309;Estagiários;2100;2100;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;32200;;S
3.2.2.04.011;310;Assistência Médica;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;12000;;S
3.2.2.04.012;311;Benefícios;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.04.013;1727;Uniformes;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.04.020;155;Pro-Labore;2743;2743;2743;2743;2743;2743;2743;2743;2743;2743;2835;2835;33098;;S
;312;Despesas com  P&D;0;0;0;0;0;0;0;0;0;0;0;0;0;F: 9997 + 338;S
3.2.2.05;9997;Despesas Gerais;0;0;0;0;0;0;0;0;0;0;0;0;0;SUM;S
3.2.2.05.001;314;Prestação Serviço P Física;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.002;315;Prestação Serviço P Jurídica;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.003;316;Seguros;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.004;317;Contribuicoes e Doacoes;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.005;318;Impostos, Taxas e Contribuicoes;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.006;319;Multas;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.007;320;Despesas Legais e Judiciais;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.008;321;Arrend Mercantil e Alugueis;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.009;322;Desp c/ Veiculos e Combustiveis;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.010;323;Transportes e Conducao;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.011;324;Bens de Natureza Permanente;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.012;325;Encargos de Depreciação;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.013;326;Utilidades(E Eletrica,Agua,Comunic);0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.014;327;Despesas com Correios e Malotes;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.015;328;Conservacao e Manutencao;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.016;329;Material de Limpeza;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.017;330;Copa e Cozinha;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.018;331;Lanches e Refeicoes;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.019;332;Material de Escritorio;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.020;333;Fotocopias e Autenticacoes;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.021;334;Material de Proc Dados;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.022;335;Impressos;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.023;336;Despesas com Eventos;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.05.999;337;Outras Despesas P&D;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06;338;Despesas com Pessoal;0;0;0;0;0;0;0;0;0;0;0;0;0;SUM;S
3.2.2.06.001;340;Salários;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.002;339;Comissões;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.003;341;Ferias;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.004;342;13o Salario;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.005;343;INSS;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.006;344;FGTS;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.007;345;Vale Transporte;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.008;346;Vale Refeição;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.009;347;Treinamento;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.010;348;Estagiários;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.011;349;Assistência Médica;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.2.06.012;350;Benefícios;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;9993;Resultado Operacional ;149274;203598;231925;207345;265256;263475;303969;341631;486066;489962;563073;608968;4114543;F: 9996 – 2398;N
;8888;Rateio do Corporativo;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
;;Resultado Operacional Próprio D. Corp.;;203598;231925;207345;265256;263475;303969;341631;486066;489962;563073;608968;3965269;;N
;187;Resultado Financeiro;12722;12671;15618;15178;13508;12451;12692;12631;13389;12503;13258;12368;158989;F: 9994-193;N
3.4.1.20;9994;Despesas Financeiras;14422;14422;17422;17036;15422;14422;14722;14722;15543;14722;15543;14722;183115;SUM;S
3.4.1.20.001;188;Juros S/Emprestimos;0;0;3000;2000;1000;0;0;0;0;0;0;0;6000;;N
3.4.1.20.002;189;Despesas Bancarias;2500;2500;2500;2500;2500;2500;2800;2800;2800;2800;2800;2800;31800;;S
3.4.1.20.003;190;IOF;400;400;400;400;400;400;400;400;400;400;400;400;4800;;N
3.4.1.20.004;191;CPMF;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;30000;;N
3.4.1.20.005;192;Variacao Monetaria Passiva;4462;4462;4462;5076;4462;4462;4462;4462;5283;4462;5283;4462;55795;;N
3.4.1.20.006;2546;Juros s/Tributos;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;54000;;N
3.4.1.20.007;215;Pis s/ Outras Receitas;10;10;10;10;10;10;10;10;10;10;10;10;120;;N
3.4.1.20.008;2622;Taxa Adm Cartao de Credito;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
3.4.1.20.009;216;Cofins s/ Outras Receitas;50;50;50;50;50;50;50;50;50;50;50;50;600;;N
3.4.1.20.010;2547;Juros Pagos a Fornecedores;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
3.4.1.20.011;217;Descontos Concedidos;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
3.4.1.20.012;2548;Juros s/Operacoes de desconto;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
3.4.1.20.013;363;(-) Cred Pis-Cofins - Encargos;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
3.4.1.21;193;Receitas Financeiras;1700;1751;1804;1858;1913;1971;2030;2091;2154;2218;2285;2353;24126;SUM;N
3.4.1.21.001;194;Descontos Obtidos;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
3.4.1.21.002;195;Rendas Financeiras;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
3.4.1.21.003;196;Juros Recebidos;1700;1751;1804;1858;1913;1971;2030;2091;2154;2218;2285;2353;24126;;N
3.4.1.21.004;210;Variacao Monetaria Ativa;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
;9992;Resultado Operacional Líquido;136552;190927;216307;192167;251747;251025;291278;329000;472677;477459;549815;596600;3955554;F: 9993 – 187;N
3.8.1;197;Resultado Não Operacional;0;0;0;0;0;0;0;0;0;0;0;0;0;SUM;N
3.8.1.01;352;Receitas Não Operacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;SUM;N
3.8.1.01.001;200;Receitas Não Operacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;;N
3.8.1.02;201;Despesas Não Operacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;SUM;S
3.8.1.02.001;202;Despesas Não Operacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;9990;Resultado Antes do IRPJ e CSSLL;136552;190927;216307;192167;251747;251025;291278;329000;472677;477459;549815;596600;3955554;F: 9992 – 197;N
3.9.9.20.001;914;Imposto de Renda;14338;20047;22712;20178;26433;26358;30584;34545;49631;50133;57731;62643;415333;;N
3.9.9.20.002;205;Contribuição Social;7647;10692;12113;10761;14098;14057;16312;18424;26470;26738;30790;33410;221511;;N
;9989;Resultado Líquido;114567;160188;181481;161228;211216;210610;244382;276031;396576;400588;461295;500547;3318710;F: 9990 – 914 – 205;N
;9988;Resultado Operacional Líquido;136552;190927;216307;192167;251747;251025;291278;329000;472677;477459;549815;596600;3955554;F: 9992;N
;9987;Encargos de Depreciação;1339;1339;1339;1339;1339;1339;1339;1339;1339;1339;1339;1339;16068;F: 172;N
;9986;Encargos de Amortização;13312;13312;13312;13312;13312;13312;13312;13312;13312;13312;13312;13312;159746;F: 184;N
;9985;Resultado Financeiro;-12722;12671;15618;15178;13508;12451;12692;12631;13389;12503;13258;12368;133546;F: -9994;N
;;EBITDA;138482;218249;246576;221996;279907;278127;318621;356282;500717;504613;577724;623619;4264913;F: 9989 + 9987 + 9986 + 9985;N
;;Total Deduções, Custos e Despesas;479083;482814;552483;584894;592453;618366;642085;671328;687580;718680;753920;729999;7513684;F: 2396 + 110 + 2398 + 8888 + 187 + 197 + 914 + 205;S
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;Total;593650;643002;733964;746122;803669;828975;886467;947359;1084156;1119268;1215214;1230546;10832393;F: 9123 + 9124 + 9125;N
;9123;Produtos;184300;204300;206100;231560;217500;223800;234900;234900;284600;253500;288200;262100;2825760;;N
;9124;Servi�os;128650;138900;200350;147600;190100;164900;180400;195150;231700;251900;265000;260000;1925100;;N
;9125;Contratos de Manuten��o;280700;299802;327514;366962;396069;440275;471167;517309;567856;613868;662014;708446;6081533;;N
